#SampleID	origin_id	id	well	concentration	rain_event	Env	soil_history	SourceSink	soil_layer	soil_event	sample_type	experiment_day	manure_and_control_soil	Proportion_manure	Proportion_SD_manure	Proportion_Nt	Proportion_SD_Nt	Proportion_Unknown	Proportion_SD_Unknown	Proportion_This_Env	Proportion_SD_This_Env
S_196	A189MaNtR6_S483_L001_MINLEN-MAXLEN.q25_fixlized.fa	A189MaNtR6	A3	10	R6	water	Nt	sink	x	x	sc_samples	108	no	0.147	0	0.0545	0.00494974746830584	0.7985	0.00494974746830584	NA	NA
S_197	A190MaCpR6_S493_L001_MINLEN-MAXLEN.q25_fixlized.fa	A190MaCpR6	B1	6.25291	R6	water	Cp	sink	x	x	sc_samples	108	no	0.1625	0.00919238815542513	0.0435	0.00353553390593274	0.794	0.00565685424949239	NA	NA
S_198	A191MaCpR6_S494_L001_MINLEN-MAXLEN.q25_fixlized.fa	A191MaCpR6	B2	4.07131	R6	water	Cp	sink	x	x	sc_samples	108	no	0.209	0	0.0505	0.00212132034355964	0.7405	0.00212132034355964	NA	NA
S_199	A192MaCpR6_S495_L001_MINLEN-MAXLEN.q25_fixlized.fa	A192MaCpR6	B3	5.25301	R6	water	Cp	sink	x	x	sc_samples	108	no	0.2165	0.0148492424049175	0.029	0.00141421356237309	0.7545	0.0162634559672906	NA	NA
S_2	3_S511_L001_MINLEN-MAXLEN.q25_fixlized.fa	3_xshwaMaT0_3	C7	10	x	manure	x	source	x	x	hiseq	x	yes	NA	NA	NA	NA	NA	NA	NA	NA
S_20	A013CoCpR1_S338_L001_MINLEN-MAXLEN.q25_fixlized.fa	A013CoCpR1	E2	10	R1	water	Cp	sink	x	x	sc_samples	10	no	0.245	0.0127279220613579	0.13	0.0113137084989848	0.625	0.0240416305603426	NA	NA
S_200	A193MaCpR6_S505_L001_MINLEN-MAXLEN.q25_fixlized.fa	A193MaCpR6	C1	10	R6	water	Cp	sink	x	x	sc_samples	108	no	0.17	0.00989949493661165	0.053	0.0014142135623731	0.777	0.0113137084989848	NA	NA
S_201	A194MaCpR6_S506_L001_MINLEN-MAXLEN.q25_fixlized.fa	A194MaCpR6	C2	10	R6	water	Cp	sink	x	x	sc_samples	108	no	0.224	0.00424264068711929	0.084	0.00424264068711928	0.692	0	NA	NA
S_202	A195MaCpR6_S507_L001_MINLEN-MAXLEN.q25_fixlized.fa	A195MaCpR6	C3	10	R6	water	Cp	sink	x	x	sc_samples	108	no	0.211	0.0197989898732233	0.045	0.00424264068711928	0.744	0.0155563491861041	NA	NA
S_203	A196MaCpR6_S517_L001_MINLEN-MAXLEN.q25_fixlized.fa	A196MaCpR6	D1	8.72236	R6	water	Cp	sink	x	x	sc_samples	108	no	0.12	0.00282842712474619	0.0445	0.00353553390593274	0.8355	0.00636396103067893	NA	NA
S_204	A197MaCpR6_S518_L001_MINLEN-MAXLEN.q25_fixlized.fa	A197MaCpR6	D2	7.26796	R6	water	Cp	sink	x	x	sc_samples	108	no	0.189	0.00424264068711929	0.038	0.00282842712474619	0.773	0.0014142135623731	NA	NA
S_205	A198MaCpR6_S519_L001_MINLEN-MAXLEN.q25_fixlized.fa	A198MaCpR6	D3	8.70721	R6	water	Cp	sink	x	x	sc_samples	108	no	0.194	0.0014142135623731	0.047	0.0014142135623731	0.759	0.00282842712474619	NA	NA
S_206	A199CoNtS0T_S1_L001_MINLEN-MAXLEN.q25_fixlized.fa	A199CoNtS0T	A1	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.5045	0.00212132034355964	0	0	0.4955	0.00212132034355964	NA	NA
S_207	A200CoNtS0T_S2_L001_MINLEN-MAXLEN.q25_fixlized.fa	A200CoNtS0T	A2	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.454	0.0113137084989848	0.034	0.0113137084989848	0.512	0	NA	NA
S_208	A201CoNtS0B_S13_L001_MINLEN-MAXLEN.q25_fixlized.fa	A201CoNtS0B	B1	3.5855	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.581	0.00141421356237302	0.001	0.0014142135623731	0.418	5.55111512312578e-17	NA	NA
S_209	A202CoNtS0B_S14_L001_MINLEN-MAXLEN.q25_fixlized.fa	A202CoNtS0B	B2	3.8279	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.545	0	0	0	0.455	0	NA	NA
S_21	A014CoCpR1_S339_L001_MINLEN-MAXLEN.q25_fixlized.fa	A014CoCpR1	E3	10	R1	water	Cp	sink	x	x	sc_samples	10	no	0.204	0.0339411254969543	0.0985	0.00212132034355964	0.6975	0.0318198051533946	NA	NA
S_210	A203CoNtS0T_S25_L001_MINLEN-MAXLEN.q25_fixlized.fa	A203CoNtS0T	C1	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.4415	0.0190918830920368	0.034	0	0.5245	0.0190918830920368	NA	NA
S_211	A204CoNtS0T_S26_L001_MINLEN-MAXLEN.q25_fixlized.fa	A204CoNtS0T	C2	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.4455	0.000707106781186548	0.0155	0.00353553390593274	0.539	0.00282842712474619	NA	NA
S_212	A205CoNtS0B_S37_L001_MINLEN-MAXLEN.q25_fixlized.fa	A205CoNtS0B	D1	4.6157	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.641	0.00282842712474619	0	0	0.359	0.00282842712474619	NA	NA
S_213	A206CoNtS0B_S38_L001_MINLEN-MAXLEN.q25_fixlized.fa	A206CoNtS0B	D2	4.7975	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.611	0.00707106781186548	0.0185	0.00353553390593274	0.3705	0.0106066017177982	NA	NA
S_214	A207CoNtS0T_S49_L001_MINLEN-MAXLEN.q25_fixlized.fa	A207CoNtS0T	E1	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.389	0.00989949493661167	0.033	0.00424264068711928	0.578	0.014142135623731	NA	NA
S_215	A208CoNtS0T_S50_L001_MINLEN-MAXLEN.q25_fixlized.fa	A208CoNtS0T	E2	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.401	0.00989949493661167	0.0205	0.00494974746830583	0.5785	0.00494974746830576	NA	NA
S_216	A209CoNtS0B_S61_L001_MINLEN-MAXLEN.q25_fixlized.fa	A209CoNtS0B	F1	4.4541	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.5535	0.000707106781186548	0.003	0.00424264068711928	0.4435	0.00494974746830584	NA	NA
S_217	A210CoNtS0B_S62_L001_MINLEN-MAXLEN.q25_fixlized.fa	A210CoNtS0B	F2	4.5955	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.637	0.0014142135623731	0	0	0.363	0.0014142135623731	NA	NA
S_218	A211CoNtS0T_S73_L001_MINLEN-MAXLEN.q25_fixlized.fa	A211CoNtS0T	G1	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.4025	0.00777817459305203	0.014	0.014142135623731	0.5835	0.0219203102167829	NA	NA
S_219	A212CoNtS0T_S74_L001_MINLEN-MAXLEN.q25_fixlized.fa	A212CoNtS0T	G2	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.429	0.00565685424949239	0.022	0	0.549	0.00565685424949239	NA	NA
S_22	A015CoCpR1_S349_L001_MINLEN-MAXLEN.q25_fixlized.fa	A015CoCpR1	F1	10	R1	water	Cp	sink	x	x	sc_samples	10	no	0.223	0.00424264068711929	0.154	0	0.623	0.00424264068711929	NA	NA
S_220	A213CoNtS0B_S85_L001_MINLEN-MAXLEN.q25_fixlized.fa	A213CoNtS0B	H1	4.1915	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.565	0.00282842712474619	0	0	0.435	0.00282842712474619	NA	NA
S_221	A214CoNtS0B_S86_L001_MINLEN-MAXLEN.q25_fixlized.fa	A214CoNtS0B	H2	3.4441	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.567	0.0070710678118654	0	0	0.433	0.00707106781186548	NA	NA
S_222	A215CoNtS0T_S3_L001_MINLEN-MAXLEN.q25_fixlized.fa	A215CoNtS0T	A3	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.5055	0.00494974746830584	0.027	0.00424264068711928	0.4675	0.000707106781186548	NA	NA
S_223	A216CoNtS0T_S4_L001_MINLEN-MAXLEN.q25_fixlized.fa	A216CoNtS0T	A4	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.536	0.00424264068711929	0.0535	0.0148492424049175	0.4105	0.0190918830920368	NA	NA
S_224	A217CoNtS0B_S15_L001_MINLEN-MAXLEN.q25_fixlized.fa	A217CoNtS0B	B3	3.3633	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.542	0.00282842712474619	0	0	0.458	0.00282842712474619	NA	NA
S_225	A218CoNtS0B_S16_L001_MINLEN-MAXLEN.q25_fixlized.fa	A218CoNtS0B	B4	3.2421	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.5825	0.0148492424049175	0.012	0.0169705627484771	0.4055	0.00212132034355961	NA	NA
S_226	A219CoNtS0T_S27_L001_MINLEN-MAXLEN.q25_fixlized.fa	A219CoNtS0T	C3	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.482	0.0014142135623731	0.0125	0.00212132034355964	0.5055	0.00353553390593274	NA	NA
S_227	A220CoNtS0T_S28_L001_MINLEN-MAXLEN.q25_fixlized.fa	A220CoNtS0T	C4	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.4655	0.00636396103067889	0.0345	0.00494974746830583	0.5	0.0113137084989848	NA	NA
S_228	A221CoNtS0B_S39_L001_MINLEN-MAXLEN.q25_fixlized.fa	A221CoNtS0B	D3	5.3631	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.5455	0.000707106781186548	0	0	0.4545	0.000707106781186548	NA	NA
S_229	A222CoNtS0B_S40_L001_MINLEN-MAXLEN.q25_fixlized.fa	A222CoNtS0B	D4	4.3733	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.613	0.00282842712474619	0.0025	0.00353553390593274	0.3845	0.00636396103067893	NA	NA
S_23	A016CoCpR1_S350_L001_MINLEN-MAXLEN.q25_fixlized.fa	A016CoCpR1	F2	10	R1	water	Cp	sink	x	x	sc_samples	10	no	0.199	0.00282842712474619	0.1125	0.00494974746830584	0.6885	0.00777817459305195	NA	NA
S_230	A223CoNtS0T_S51_L001_MINLEN-MAXLEN.q25_fixlized.fa	A223CoNtS0T	E3	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.4495	0.0190918830920368	0.024	0.0113137084989848	0.5265	0.00777817459305203	NA	NA
S_231	A224CoNtS0T_S52_L001_MINLEN-MAXLEN.q25_fixlized.fa	A224CoNtS0T	E4	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.4585	0.0176776695296637	0.037	0.014142135623731	0.5045	0.00353553390593274	NA	NA
S_232	A225CoNtS0B_S63_L001_MINLEN-MAXLEN.q25_fixlized.fa	A225CoNtS0B	F3	3.3431	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.549	0	0.0285	0.00777817459305202	0.4225	0.00777817459305203	NA	NA
S_233	A226CoNtS0B_S64_L001_MINLEN-MAXLEN.q25_fixlized.fa	A226CoNtS0B	F4	3.5855	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.5515	0.00353553390593274	0	0	0.4485	0.00353553390593274	NA	NA
S_234	A227CoNtS0T_S75_L001_MINLEN-MAXLEN.q25_fixlized.fa	A227CoNtS0T	G3	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.394	0.00282842712474619	0.0225	0.00353553390593274	0.5835	0.00636396103067893	NA	NA
S_235	A228CoNtS0T_S76_L001_MINLEN-MAXLEN.q25_fixlized.fa	A228CoNtS0T	G4	0.1111	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.395	0	0.0175	0.00212132034355964	0.5875	0.00212132034355964	NA	NA
S_236	A229CoNtS0B_S87_L001_MINLEN-MAXLEN.q25_fixlized.fa	A229CoNtS0B	H3	5.0601	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.5315	0.0190918830920368	0.009	0.0127279220613579	0.4595	0.00636396103067893	NA	NA
S_237	A230CoNtS0B_S88_L001_MINLEN-MAXLEN.q25_fixlized.fa	A230CoNtS0B	H4	4.4339	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.545	0.0155563491861041	0.0295	0.021920310216783	0.4255	0.00636396103067893	NA	NA
S_238	A231CoNtS0T_S5_L001_MINLEN-MAXLEN.q25_fixlized.fa	A231CoNtS0T	A5	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.5005	0.00636396103067893	0.008	0.0113137084989848	0.4915	0.00494974746830584	NA	NA
S_239	A232CoNtS0T_S6_L001_MINLEN-MAXLEN.q25_fixlized.fa	A232CoNtS0T	A6	10	x	soil	Nt	sink	T	S0	sc_samples	0	yes	0.5255	0.0120208152801713	0.047	0.0014142135623731	0.4275	0.0134350288425444	NA	NA
S_24	A017CoCpR1_S351_L001_MINLEN-MAXLEN.q25_fixlized.fa	A017CoCpR1	F3	10	R1	water	Cp	sink	x	x	sc_samples	10	no	0.1605	0.00494974746830584	0.1125	0.0106066017177982	0.727	0.00565685424949239	NA	NA
S_240	A233CoNtS0B_S17_L001_MINLEN-MAXLEN.q25_fixlized.fa	A233CoNtS0B	B5	4.2319	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.523	0.00282842712474619	0	0	0.477	0.00282842712474619	NA	NA
S_241	A234CoNtS0B_S18_L001_MINLEN-MAXLEN.q25_fixlized.fa	A234CoNtS0B	B6	4.3329	x	soil	Nt	sink	B	S0	sc_samples	0	yes	0.5265	0.00494974746830584	0.0585	0.000707106781186543	0.415	0.00424264068711929	NA	NA
S_242	A235CoCpS0T_S29_L001_MINLEN-MAXLEN.q25_fixlized.fa	A235CoCpS0T	C5	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.466	0.00848528137423854	0.03	0.0197989898732233	0.504	0.0113137084989848	NA	NA
S_243	A236CoCpS0T_S30_L001_MINLEN-MAXLEN.q25_fixlized.fa	A236CoCpS0T	C6	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.448	0.0155563491861041	0.0425	0.0162634559672906	0.5095	0.000707106781186548	NA	NA
S_244	A237CoCpS0B_S41_L001_MINLEN-MAXLEN.q25_fixlized.fa	A237CoCpS0B	D5	3.5451	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.6225	0.00777817459305203	0.007	0.00989949493661167	0.3705	0.00212132034355964	NA	NA
S_245	A238CoCpS0B_S42_L001_MINLEN-MAXLEN.q25_fixlized.fa	A238CoCpS0B	D6	3.0199	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.545	0.0014142135623731	0.0245	0.000707106781186548	0.4305	0.000707106781186548	NA	NA
S_246	A239CoCpS0T_S53_L001_MINLEN-MAXLEN.q25_fixlized.fa	A239CoCpS0T	E5	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.3315	0.0176776695296637	0.048	0.00424264068711928	0.6205	0.0134350288425444	NA	NA
S_247	A240CoCpS0T_S54_L001_MINLEN-MAXLEN.q25_fixlized.fa	A240CoCpS0T	E6	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.2925	0.00494974746830584	0.03	0	0.6775	0.00494974746830584	NA	NA
S_248	A241CoCpS0B_S65_L001_MINLEN-MAXLEN.q25_fixlized.fa	A241CoCpS0B	F5	6.4337	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.6875	0	0	0	0.3125	0	NA	NA
S_249	A242CoCpS0B_S66_L001_MINLEN-MAXLEN.q25_fixlized.fa	A242CoCpS0B	F6	3.5047	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.603	0.00848528137423858	0	0	0.397	0.00848528137423858	NA	NA
S_25	A018MaNtR1_S361_L001_MINLEN-MAXLEN.q25_fixlized.fa	A018MaNtR1	G1	10	R1	water	Nt	sink	x	x	sc_samples	10	no	0.242	0.0014142135623731	0.1215	0.00353553390593274	0.6365	0.00212132034355964	NA	NA
S_250	A243CoCpS0T_S77_L001_MINLEN-MAXLEN.q25_fixlized.fa	A243CoCpS0T	G5	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.3895	0.0162634559672906	0.023	0.0197989898732233	0.5875	0.00353553390593274	NA	NA
S_251	A244CoCpS0T_S78_L001_MINLEN-MAXLEN.q25_fixlized.fa	A244CoCpS0T	G6	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.389	0.00989949493661167	0.039	0	0.572	0.00989949493661167	NA	NA
S_252	A245CoCpS0B_S89_L001_MINLEN-MAXLEN.q25_fixlized.fa	A245CoCpS0B	H5	7.3225	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.5815	0.000707106781186548	0	0	0.4185	0.000707106781186548	NA	NA
S_253	A246CoCpS0B_S90_L001_MINLEN-MAXLEN.q25_fixlized.fa	A246CoCpS0B	H6	5.9489	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.6015	0.00212132034355964	0.0335	0.000707106781186548	0.365	0.0014142135623731	NA	NA
S_254	A247CoCpS0T_S7_L001_MINLEN-MAXLEN.q25_fixlized.fa	A247CoCpS0T	A7	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.354	0.0183847763108502	0.017	0.00707106781186547	0.629	0.0113137084989848	NA	NA
S_255	A248CoCpS0T_S8_L001_MINLEN-MAXLEN.q25_fixlized.fa	A248CoCpS0T	A8	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.348	0.0113137084989847	0.025	0.00141421356237309	0.627	0.0127279220613579	NA	NA
S_256	A249CoCpS0B_S19_L001_MINLEN-MAXLEN.q25_fixlized.fa	A249CoCpS0B	B7	5.2823	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.5875	0.00353553390593282	0.009	0.0113137084989848	0.4035	0.00777817459305203	NA	NA
S_257	A250CoCpS0B_S20_L001_MINLEN-MAXLEN.q25_fixlized.fa	A250CoCpS0B	B8	3.2017	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.6025	0.000707106781186548	0	0	0.3975	0.000707106781186548	NA	NA
S_258	A251CoCpS0T_S31_L001_MINLEN-MAXLEN.q25_fixlized.fa	A251CoCpS0T	C7	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.4155	0.00212132034355964	0.0285	0.00212132034355964	0.556	0	NA	NA
S_259	A252CoCpS0T_S32_L001_MINLEN-MAXLEN.q25_fixlized.fa	A252CoCpS0T	C8	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.3825	0.00919238815542513	0	0	0.6175	0.00919238815542513	NA	NA
S_26	A019MaNtR1_S362_L001_MINLEN-MAXLEN.q25_fixlized.fa	A019MaNtR1	G2	10	R1	water	Nt	sink	x	x	sc_samples	10	no	0.2075	0.00636396103067891	0.1115	0.000707106781186548	0.681	0.00707106781186548	NA	NA
S_260	A253CoCpS0B_S43_L001_MINLEN-MAXLEN.q25_fixlized.fa	A253CoCpS0B	D7	8.6355	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.58163265	0.0144307059011332	0	0	0.41836735	0.0144307059011332	NA	NA
S_261	A254CoCpS0B_S44_L001_MINLEN-MAXLEN.q25_fixlized.fa	A254CoCpS0B	D8	5.7469	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.577	0.00565685424949239	0.0055	0.00353553390593274	0.4175	0.00919238815542513	NA	NA
S_262	A255CoCpS0T_S55_L001_MINLEN-MAXLEN.q25_fixlized.fa	A255CoCpS0T	E7	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.413	0.00424264068711929	0.0105	0.000707106781186547	0.5765	0.00494974746830584	NA	NA
S_263	A256CoCpS0T_S56_L001_MINLEN-MAXLEN.q25_fixlized.fa	A256CoCpS0T	E8	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.3675	0.00494974746830584	0.0205	0.00212132034355964	0.612	0.00282842712474619	NA	NA
S_264	A257CoCpS0B_S67_L001_MINLEN-MAXLEN.q25_fixlized.fa	A257CoCpS0B	F7	7.3427	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.54813665046584	0.00658797926650927	0.0916148992236009	0.0109799411419614	0.360248450310559	0.00439196187545224	NA	NA
S_265	A258CoCpS0B_S68_L001_MINLEN-MAXLEN.q25_fixlized.fa	A258CoCpS0B	F8	6.0499	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.643	0.00707106781186548	0.027	0.00565685424949238	0.33	0.0014142135623731	NA	NA
S_266	A259CoCpS0T_S79_L001_MINLEN-MAXLEN.q25_fixlized.fa	A259CoCpS0T	G7	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.27	0	0.0235	0.00494974746830583	0.7065	0.00494974746830584	NA	NA
S_267	A260CoCpS0T_S80_L001_MINLEN-MAXLEN.q25_fixlized.fa	A260CoCpS0T	G8	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.2825	0.000707106781186509	0.0025	0.00353553390593274	0.715	0.00282842712474611	NA	NA
S_268	A261CoCpS0B_S91_L001_MINLEN-MAXLEN.q25_fixlized.fa	A261CoCpS0B	H7	4.2521	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.5785	0.00777817459305203	0	0	0.4215	0.00777817459305203	NA	NA
S_269	A262CoCpS0B_S92_L001_MINLEN-MAXLEN.q25_fixlized.fa	A262CoCpS0B	H8	4.5551	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.603	0.00282842712474619	5e-04	0.000707106781186548	0.3965	0.00353553390593274	NA	NA
S_27	A020MaNtR1_S363_L001_MINLEN-MAXLEN.q25_fixlized.fa	A020MaNtR1	G3	10	R1	water	Nt	sink	x	x	sc_samples	10	no	0.641	0	0.0185	0.00777817459305202	0.3405	0.00777817459305199	NA	NA
S_270	A263CoCpS0T_S9_L001_MINLEN-MAXLEN.q25_fixlized.fa	A263CoCpS0T	A9	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.476	0.0183847763108502	0.062	0.0197989898732233	0.462	0.0014142135623731	NA	NA
S_271	A264CoCpS0T_S10_L001_MINLEN-MAXLEN.q25_fixlized.fa	A264CoCpS0T	A10	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.403	0.00424264068711929	0.0305	0.00353553390593274	0.5665	0.000707106781186548	NA	NA
S_272	A265CoCpS0B_S21_L001_MINLEN-MAXLEN.q25_fixlized.fa	A265CoCpS0B	B9	3.7875	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.617	0.00282842712474619	0	0	0.383	0.00282842712474619	NA	NA
S_273	A266CoCpS0B_S22_L001_MINLEN-MAXLEN.q25_fixlized.fa	A266CoCpS0B	B10	4.0905	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.5595	0.00494974746830576	0	0	0.4405	0.00494974746830584	NA	NA
S_274	A267CoCpS0T_S33_L001_MINLEN-MAXLEN.q25_fixlized.fa	A267CoCpS0T	C9	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.437	0.00848528137423858	0.023	0.0014142135623731	0.54	0.00707106781186548	NA	NA
S_275	A268CoCpS0T_S34_L001_MINLEN-MAXLEN.q25_fixlized.fa	A268CoCpS0T	C10	10	x	soil	Cp	sink	T	S0	sc_samples	0	yes	0.3815	0.00777817459305203	0.026	0.00707106781186547	0.5925	0.0148492424049175	NA	NA
S_276	A269CoCpS0B_S45_L001_MINLEN-MAXLEN.q25_fixlized.fa	A269CoCpS0B	D9	5.4237	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.606	0.00282842712474619	0	0	0.394	0.00282842712474619	NA	NA
S_277	A270CoCpS0B_S46_L001_MINLEN-MAXLEN.q25_fixlized.fa	A270CoCpS0B	D10	4.4137	x	soil	Cp	sink	B	S0	sc_samples	0	yes	0.636	0.0155563491861041	0.011	0.015556349186104	0.353	0	NA	NA
S_278	A271MaNtS0T_S57_L001_MINLEN-MAXLEN.q25_fixlized.fa	A271MaNtS0T	E9	10	x	soil	Nt	sink	T	S0	sc_samples	0	no	0.561	0.0014142135623731	0	0	0.439	0.0014142135623731	NA	NA
S_279	A272MaNtS0T_S58_L001_MINLEN-MAXLEN.q25_fixlized.fa	A272MaNtS0T	E10	10	x	soil	Nt	sink	T	S0	sc_samples	0	no	0.5595	0.00212132034355964	0.018	0	0.4225	0.00212132034355964	NA	NA
S_28	A021MaNtR1_S373_L001_MINLEN-MAXLEN.q25_fixlized.fa	A021MaNtR1	H1	10	R1	water	Nt	sink	x	x	sc_samples	10	no	0.3955	0.00212132034355964	0.0935	0.000707106781186548	0.511	0.0014142135623731	NA	NA
S_280	A273MaNtS0B_S69_L001_MINLEN-MAXLEN.q25_fixlized.fa	A273MaNtS0B	F9	3.6057	x	soil	Nt	sink	B	S0	sc_samples	0	no	0.613	0.00282842712474619	0	0	0.387	0.00282842712474619	NA	NA
S_281	A274MaNtS0B_S70_L001_MINLEN-MAXLEN.q25_fixlized.fa	A274MaNtS0B	F10	3.8885	x	soil	Nt	sink	B	S0	sc_samples	0	no	0.624	0.00424264068711929	0	0	0.376	0.00424264068711929	NA	NA
S_282	A275MaNtS0T_S81_L001_MINLEN-MAXLEN.q25_fixlized.fa	A275MaNtS0T	G9	9.5243	x	soil	Nt	sink	T	S0	sc_samples	0	no	0.582	0.0014142135623731	0.007	0.00989949493661167	0.411	0.0113137084989847	NA	NA
S_283	A276MaNtS0T_S82_L001_MINLEN-MAXLEN.q25_fixlized.fa	A276MaNtS0T	G10	10	x	soil	Nt	sink	T	S0	sc_samples	0	no	0.58	0.0183847763108502	0.0085	0.00353553390593274	0.4115	0.0148492424049175	NA	NA
S_284	A277MaNtS0B_S93_L001_MINLEN-MAXLEN.q25_fixlized.fa	A277MaNtS0B	H9	3.2825	x	soil	Nt	sink	B	S0	sc_samples	0	no	0.5775	0.0162634559672906	0	0	0.4225	0.0162634559672906	NA	NA
S_285	A278MaNtS0B_S94_L001_MINLEN-MAXLEN.q25_fixlized.fa	A278MaNtS0B	H10	2.9795	x	soil	Nt	sink	B	S0	sc_samples	0	no	0.598	0.00989949493661167	0	0	0.402	0.00989949493661164	NA	NA
S_286	A279MaNtS0T_S11_L001_MINLEN-MAXLEN.q25_fixlized.fa	A279MaNtS0T	A11	9.7465	x	soil	Nt	sink	T	S0	sc_samples	0	no	0.6625	0.000707106781186548	0.0015	0.00212132034355964	0.336	0.00282842712474619	NA	NA
S_287	A280MaNtS0T_S12_L001_MINLEN-MAXLEN.q25_fixlized.fa	A280MaNtS0T	A12	5.01061	x	soil	Nt	sink	T	S0	sc_samples	0	no	0.5955	0.00212132034355964	0.0285	0.000707106781186548	0.376	0.00282842712474619	NA	NA
S_288	A281MaNtS0B_S23_L001_MINLEN-MAXLEN.q25_fixlized.fa	A281MaNtS0B	B11	2.8987	x	soil	Nt	sink	B	S0	sc_samples	0	no	0.6135	0.000707106781186548	0	0	0.3865	0.000707106781186548	NA	NA
S_289	A282MaNtS0B_S24_L001_MINLEN-MAXLEN.q25_fixlized.fa	A282MaNtS0B	B12	10	x	soil	Nt	sink	B	S0	sc_samples	0	no	0.5805	0.00212132034355964	0	0	0.4195	0.00212132034355964	NA	NA
S_29	A022MaNtR1_S374_L001_MINLEN-MAXLEN.q25_fixlized.fa	A022MaNtR1	H2	10	R1	water	Nt	sink	x	x	sc_samples	10	no	0.397	0.00848528137423858	0.094	0.00848528137423858	0.509	0	NA	NA
S_290	A283MaNtS0T_S35_L001_MINLEN-MAXLEN.q25_fixlized.fa	A283MaNtS0T	C11	5.4439	x	soil	Nt	sink	T	S0	sc_samples	0	no	0.563	0.0113137084989847	0.028	0.0014142135623731	0.409	0.0127279220613578	NA	NA
